titleId,directors
tt0017925,"nm0115669,nm0000036"
tt0017961,nm0575963
tt0018033,"nm0903049,nm0046082"
tt0018037,nm0189076
tt0018080,nm0744504
tt0018107,"nm0318105,nm0332539"
tt0018183,nm0853130
tt0018192,nm0304098
tt0018233,nm0807742
tt0018302,nm0671501
tt0018318,nm0136888
tt0018328,nm0000033
tt0018397,nm0115218
tt0018489,nm0928214
tt0018512,nm0806061
tt0018524,nm0689471
tt0018526,"nm0903049,nm0744504"
tt0018662,nm0112897
tt0018689,nm0250034
tt0018721,nm0000370
tt0018728,nm0412235
tt0018753,nm0307819
tt0018770,nm0258477
tt0018773,nm0000122
tt0018821,nm0086486
tt0018851,nm0191899
tt0018870,nm0190516
tt0018873,"nm0914682,nm0916410"
tt0018876,nm0000033
tt0018908,"nm0774325,nm0178260,nm0578985"
tt0018935,nm0226189
tt0019043,nm0455938
tt0019045,nm0654868
tt0019130,nm0501902
tt0019131,nm0071560
tt0019163,nm0917857
tt0019186,nm0243295
tt0019252,nm0833965
tt0019254,nm0003433
tt0019258,nm0896542
tt0019286,nm0699877
tt0019288,nm0383304
tt0019307,nm0782707
tt0019415,nm0000485
tt0019419,nm0187981
tt0019456,nm0215877
tt0019478,nm0840042
tt0019509,nm0002190
tt0019630,nm0922327
tt0019646,nm0478303
tt0019664,nm0215877
tt0019666,nm0624714
tt0019688,"nm0564970,nm0395023"
tt0019722,nm0102643
tt0019723,nm0896533
tt0019732,nm0671501
tt0019734,nm0387791
tt0019777,"nm0282984,nm0763798"
tt0019837,nm0209458
tt0019901,nm0000485
tt0019959,nm0896542
tt0020019,nm0454535
tt0020062,nm0275494
tt0020092,nm0510839
tt0020135,nm0920074
tt0020215,nm0054977
tt0020223,"nm0002031,nm0953123"
tt0020269,nm0243295
tt0020321,"nm0412235,nm0291259"
tt0020324,nm0212704
tt0020335,nm0097648
tt0020389,"nm0273203,nm0811914"
tt0020402,"nm0372609,nm0689471"
tt0020415,nm0258015
tt0020439,nm0064600
tt0020479,nm0853130
tt0020530,nm0000320
tt0020564,nm0624756
tt0020629,nm0587277
tt0020640,nm0373511
tt0020655,"nm0447217,nm0243295"
tt0020681,nm0569645
tt0020691,"nm0909825,nm0517264"
tt0020697,nm0903049
tt0020701,nm0534226
tt0020713,nm0002031
tt0020785,nm0127511
tt0020900,nm0002179
tt0020929,nm0342417
tt0020960,"nm0001843,nm0400652,nm0332539"
tt0020986,nm0749484
tt0021073,nm0466099
tt0021076,nm0500749
tt0021079,nm0503777
tt0021114,nm0896826
tt0021128,nm0000033
tt0021147,nm0188669
tt0021149,nm0045800
tt0021165,nm0000033
tt0021224,nm0115218
tt0021239,nm0356931
tt0021288,nm0229553
tt0021292,"nm0000859,nm0629243"
tt0021295,nm0281808
tt0021310,nm0113284
tt0021324,nm0187981
tt0021339,nm0569697
tt0021409,nm0163229
tt0021412,nm0136888
tt0021434,nm0412650
tt0021456,nm0569697
tt0021483,nm0188669
tt0021504,nm0689471
tt0021538,nm0633394
tt0021571,nm0235590
tt0021596,"nm0191386,nm0281487"
tt0021598,nm0386785
tt0021599,nm0689455
tt0021602,nm0736610
tt0021634,nm0307819
tt0021671,"nm0002165,nm0282984"
tt0021680,nm0763453
tt0021723,nm0806143
tt0021730,nm0896542
tt0021749,nm0000122
tt0021775,nm0763453
tt0021786,nm0275494
tt0021814,"nm0005713,nm0115218"
tt0021853,nm0541766
tt0021884,nm0001843
tt0021890,nm0587277
tt0021914,nm0067033
tt0021927,nm0064600
tt0021977,nm0348107
tt0022000,nm0564970
tt0022094,nm0448915
tt0022100,nm0000485
tt0022111,nm0215877
tt0022126,nm0803705
tt0022150,nm0163229
tt0022158,nm0572851
tt0022215,"nm0468882,nm0871185"
tt0022216,nm0233091
tt0022265,nm0416258
tt0022268,nm0001008
tt0022276,nm0113284
tt0022279,nm0291548
tt0022286,nm0920074
tt0022296,nm0341486
tt0022301,"nm0287888,nm0047281"
tt0022307,nm0136888
tt0022382,"nm0616893,nm0925028"
tt0022408,nm0224543
tt0022458,nm0003638
tt0022520,nm0188669
tt0022559,nm0245385
tt0022718,nm0719756
tt0022750,nm0782597
tt0022810,nm0831577
tt0022833,nm0124877
tt0022835,nm0541149
tt0022840,nm0640248
tt0022854,nm0113284
tt0022867,nm0532561
tt0022873,nm0064600
tt0022879,nm0097648
tt0022892,nm0397678
tt0022905,nm0001008
tt0022913,nm0115218
tt0022922,nm0412650
tt0022958,nm0332539
tt0023006,"nm0281487,nm0186276"
tt0023027,nm0572851
tt0023042,nm0503777
tt0023064,nm0712730
tt0023119,"nm0247484,nm0066247"
tt0023121,nm0128715
tt0023153,nm0293260
tt0023158,nm0541149
tt0023169,nm0314351
tt0023238,"nm0774325,nm0681635"
tt0023245,nm0005713
tt0023285,nm0000033
tt0023293,nm0001843
tt0023359,"nm0699877,nm0231151"
tt0023369,nm0587277
tt0023381,nm0292134
tt0023427,"nm0001328,nm0744514"
tt0023460,nm0397678
tt0023535,nm0802563
tt0023556,nm0215877
tt0023563,nm0000485
